,Order ID,x_kg,y_kg,x_zone,y_zone,ship,x_value,Y_values
0,2001806232,0.5,1.5,d,d,Forward charges,45.4,135.0
1,2001806273,1.0,1.0,d,d,Forward charges,90.19999999999999,90.19999999999999
2,2001806408,1.0,2.5,d,d,Forward charges,90.19999999999999,224.6
3,2001806458,1.0,1.0,b,b,Forward charges,61.3,61.3
4,2001807012,0.5,0.5,d,d,Forward charges,45.4,45.4
5,2001806686,0.5,0.5,d,d,Forward charges,45.4,45.4
6,2001806885,0.5,1.0,b,b,Forward charges,33.0,61.3
7,2001807058,1.5,1.5,b,b,Forward charges,89.6,89.6
8,2001807186,0.5,0.5,d,d,Forward charges,45.4,45.4
9,2001807290,0.5,0.5,d,d,Forward charges,45.4,45.4
10,2001807814,1.0,1.0,b,b,Forward charges,61.3,61.3
11,2001807931,1.0,1.0,d,d,Forward charges,90.19999999999999,90.19999999999999
12,2001807956,1.0,1.5,b,b,Forward charges,61.3,89.6
13,2001807960,1.0,1.0,d,d,Forward charges,90.19999999999999,90.19999999999999
14,2001807930,0.5,0.5,d,d,Forward charges,45.4,45.4
15,2001808102,1.0,1.5,d,d,Forward charges,90.19999999999999,135.0
16,2001808118,0.5,0.5,b,b,Forward charges,33.0,33.0
17,2001808207,1.0,1.0,d,d,Forward charges,90.19999999999999,90.19999999999999
18,2001808295,0.5,0.5,e,e,Forward and RTO charges,107.30000000000001,107.30000000000001
19,2001808507,1.0,1.0,b,b,Forward charges,61.3,61.3
20,2001808542,0.5,1.0,d,d,Forward charges,45.4,90.19999999999999
21,2001808675,1.5,1.5,b,b,Forward charges,89.6,89.6
22,2001807976,1.0,1.0,d,d,Forward and RTO charges,176.29999999999998,176.29999999999998
23,2001812838,0.5,1.0,b,b,Forward and RTO charges,53.5,110.1
24,2001816684,0.5,1.0,d,d,Forward and RTO charges,107.30000000000001,176.29999999999998
25,2001817160,1.0,1.0,d,d,Forward and RTO charges,176.29999999999998,176.29999999999998
26,2001818390,0.5,1.0,e,e,Forward and RTO charges,107.30000000000001,218.3
27,2001821190,1.5,1.5,d,d,Forward and RTO charges,265.9,265.9
28,2001817093,1.5,1.5,b,b,Forward and RTO charges,166.7,166.7
29,2001823564,0.5,1.0,d,d,Forward and RTO charges,107.30000000000001,176.29999999999998
30,2001825261,1.0,2.0,d,d,Forward and RTO charges,176.29999999999998,355.5
31,2001811192,1.0,1.5,d,d,Forward and RTO charges,176.29999999999998,265.9
32,2001809917,1.0,1.0,d,d,Forward and RTO charges,176.29999999999998,176.29999999999998
33,2001806210,0.5,3.0,b,b,Forward charges,33.0,174.5
34,2001806226,0.5,1.0,d,d,Forward charges,45.4,90.19999999999999
35,2001806229,0.5,1.0,d,d,Forward charges,45.4,90.19999999999999
36,2001806233,0.5,1.0,b,b,Forward charges,33.0,61.3
37,2001806251,0.5,1.5,d,d,Forward charges,45.4,135.0
38,2001806338,0.5,1.0,d,d,Forward charges,45.4,90.19999999999999
39,2001806446,0.5,1.0,d,d,Forward charges,45.4,90.19999999999999
40,2001806533,0.5,1.0,d,d,Forward charges,45.4,90.19999999999999
41,2001806547,0.5,1.0,b,b,Forward charges,33.0,61.3
42,2001806567,1.0,1.5,d,d,Forward charges,90.19999999999999,135.0
43,2001806575,0.5,1.0,b,b,Forward charges,33.0,61.3
44,2001806616,1.0,1.5,b,b,Forward charges,61.3,89.6
45,2001806652,0.5,1.0,d,d,Forward charges,45.4,90.19999999999999
46,2001806733,1.0,1.5,d,d,Forward charges,90.19999999999999,135.0
47,2001806735,0.5,1.0,d,d,Forward charges,45.4,90.19999999999999
48,2001806726,0.5,1.0,d,d,Forward charges,45.4,90.19999999999999
49,2001806776,0.5,3.0,b,b,Forward charges,33.0,174.5
50,2001806801,0.5,1.5,b,b,Forward charges,33.0,89.6
51,2001807004,0.5,1.0,d,d,Forward charges,45.4,90.19999999999999
52,2001807036,0.5,2.0,d,d,Forward charges,45.4,179.79999999999998
53,2001807084,0.5,1.0,d,d,Forward charges,45.4,90.19999999999999
54,2001807362,1.0,2.0,d,d,Forward charges,90.19999999999999,179.79999999999998
55,2001807415,0.5,1.0,b,b,Forward charges,33.0,61.3
56,2001809592,1.0,1.5,b,b,Forward charges,61.3,89.6
57,2001809794,2.0,1.5,d,d,Forward charges,179.79999999999998,135.0
58,2001809820,3.0,3.0,d,d,Forward charges,269.4,269.4
59,2001806471,1.5,2.0,b,d,Forward charges,89.6,179.79999999999998
60,2001807241,1.0,1.0,b,d,Forward charges,61.3,90.19999999999999
61,2001807981,0.5,0.5,b,d,Forward charges,33.0,45.4
62,2001808286,1.0,1.0,b,d,Forward charges,61.3,90.19999999999999
63,2001808801,1.0,1.0,b,d,Forward charges,61.3,90.19999999999999
64,2001810104,1.0,1.0,b,d,Forward charges,61.3,90.19999999999999
65,2001811153,1.0,1.0,b,d,Forward charges,61.3,90.19999999999999
66,2001811229,1.0,1.0,b,d,Forward charges,61.3,90.19999999999999
67,2001811363,1.0,1.0,b,d,Forward charges,61.3,90.19999999999999
68,2001811466,1.0,1.0,b,d,Forward charges,61.3,90.19999999999999
69,2001811809,0.5,0.5,b,d,Forward and RTO charges,53.5,107.30000000000001
70,2001812854,2.5,3.0,b,d,Forward charges,146.2,269.4
71,2001813009,1.0,1.0,b,d,Forward charges,61.3,90.19999999999999
72,2001812650,0.5,1.0,b,d,Forward charges,33.0,90.19999999999999
73,2001814580,0.5,0.5,b,d,Forward and RTO charges,53.5,107.30000000000001
74,2001815688,0.5,0.5,b,d,Forward charges,33.0,45.4
75,2001816131,0.5,1.0,b,d,Forward charges,33.0,90.19999999999999
76,2001816996,0.5,0.5,b,d,Forward charges,33.0,45.4
77,2001821185,2.0,2.5,b,d,Forward charges,117.9,224.6
78,2001821284,0.5,0.5,b,d,Forward charges,33.0,45.4
79,2001821679,0.5,0.5,b,d,Forward charges,33.0,45.4
80,2001821742,0.5,0.5,b,d,Forward charges,33.0,45.4
81,2001821750,1.0,1.0,b,d,Forward charges,61.3,90.19999999999999
82,2001821766,0.5,0.5,b,d,Forward charges,33.0,45.4
83,2001821995,0.5,0.5,b,d,Forward charges,33.0,45.4
84,2001821502,0.5,1.0,b,d,Forward charges,33.0,90.19999999999999
85,2001822466,0.5,1.5,b,d,Forward charges,33.0,135.0
86,2001820690,0.5,0.5,b,d,Forward charges,33.0,45.4
87,2001811604,0.5,1.0,e,b,Forward charges,56.6,61.3
88,2001819252,0.5,0.5,e,b,Forward charges,56.6,33.0
89,2001827036,2.0,2.0,e,b,Forward charges,223.1,117.9
90,2001806304,0.5,1.0,b,d,Forward charges,33.0,90.19999999999999
91,2001806768,0.5,1.5,b,d,Forward charges,33.0,135.0
92,2001806823,0.5,1.0,b,d,Forward charges,33.0,90.19999999999999
93,2001806828,0.5,1.0,b,d,Forward charges,33.0,90.19999999999999
94,2001806968,0.5,1.0,b,d,Forward charges,33.0,90.19999999999999
95,2001807328,0.5,2.5,b,d,Forward charges,33.0,224.6
96,2001807785,0.5,1.0,b,d,Forward charges,33.0,90.19999999999999
97,2001807852,0.5,1.0,b,d,Forward charges,33.0,90.19999999999999
98,2001807970,1.0,4.5,b,d,Forward charges,61.3,403.79999999999995
99,2001807329,0.5,1.0,b,d,Forward charges,33.0,90.19999999999999
100,2001807613,1.0,1.5,b,d,Forward charges,61.3,135.0
101,2001808475,0.5,1.0,b,d,Forward charges,33.0,90.19999999999999
102,2001808585,0.5,1.0,e,b,Forward charges,56.6,61.3
103,2001808679,0.5,1.0,b,d,Forward charges,33.0,90.19999999999999
104,2001808739,0.5,2.0,b,d,Forward charges,33.0,179.79999999999998
105,2001808832,1.0,2.5,b,d,Forward charges,61.3,224.6
106,2001808837,0.5,1.0,b,d,Forward charges,33.0,90.19999999999999
107,2001808883,0.5,1.0,b,d,Forward charges,33.0,90.19999999999999
108,2001808992,0.5,1.0,b,d,Forward charges,33.0,90.19999999999999
109,2001809270,0.5,1.0,b,d,Forward charges,33.0,90.19999999999999
110,2001809934,0.5,1.0,b,d,Forward charges,33.0,90.19999999999999
111,2001810125,0.5,1.0,b,d,Forward charges,33.0,90.19999999999999
112,2001810281,0.5,1.0,b,d,Forward charges,33.0,90.19999999999999
113,2001810549,1.0,2.0,b,d,Forward charges,61.3,179.79999999999998
114,2001810697,1.0,2.5,b,d,Forward charges,61.3,224.6
115,2001811039,0.5,1.0,b,d,Forward charges,33.0,90.19999999999999
116,2001811058,0.5,1.0,b,d,Forward charges,33.0,90.19999999999999
117,2001811306,1.0,1.5,b,d,Forward charges,61.3,135.0
118,2001812195,0.5,1.0,b,d,Forward charges,33.0,90.19999999999999
119,2001812941,0.5,1.0,b,d,Forward charges,33.0,90.19999999999999
120,2001809383,1.0,0.5,b,d,Forward and RTO charges,110.1,107.30000000000001
121,2001820978,1.0,0.5,b,d,Forward charges,61.3,45.4
122,2001811475,1.0,0.5,e,b,Forward charges,112.1,33.0
123,2001811305,1.0,0.5,b,d,Forward charges,61.3,45.4
